,id,序号,故障发现（确认）时间,通知省级调度时间（运检中心）,故障开始时间,故障监测确认时间,故障结束时间,单位简称,影响对象,部署类型,异常类型,异常类型细项,问题现象,故障组件,形成原因,形成原因细类,原因分析,故障处理过程,整改措施,整改措施是否落实,整改措施佐证材料,故障时长（小时）,故障时长（分钟）,风险事例等级,监控发现方式,有无用户申告,调度联系单,紧急抢修,考核数据,有无停运,早会PPT,简报,周报,早会短信,月份,日期,时刻,是否工作日,是否工作时段,是否提交故障报告,故障报告第一次提交时间,故障报告合格时间,报告提交时长（小时）,报告合格时间（小时）,故障短信,连接,是否按时提交正式报告,中断时间分布,监控发现方式细类,是否办结,是否因业务量大,是否典型
10,394,,,,2016-06-18 13:30:00,,2016-06-18 13:42:00,国网信通,95598,一级部署,信息系统运行异常,系统部分功能非计划不可用,6月18日13:30，国网信通调度接到95598项目组申告，95598智能互动网站部分用户无法正常登陆。初步原因为单台隔离装置配置问题，13:42，运检中心剔除隔离装置集群中配置异常设备，经验证系统恢复正常。,网络,操作不当等问题,检修操作不当,一台隔离装置在6月15日故障处置过程中重启导致部分配置信息丢失，负载均衡将部分业务请求分发至故障节点，造成部分用户访问错误。,运检中心剔除隔离装置集群中配置异常设备后，系统临时恢复正常。,重装隔离装置服务后，业务恢复正常。,,,0.199999999254942,11.9999999552965,,IMS监控,有,,,,无,有,有,无,有,6月,18,13,,,,,,,,,,,,,,,
11,395,,,,2016-06-19 08:40:00,,2016-06-19 13:00:00,国网信通,95598,一级部署,信息系统运行异常,不影响用户使用但系统有告警,6月19日8:40，国网信通调度接到95598项目组申告，用户反馈95598业务支持系统运行缓慢。经查，初步原因为数据库中存在死锁，解除死锁并重启相关应用服务后，13:00，经验证系统恢复正常，派单业务已迁回线上。,数据库软件,运行维护不当,数据库死锁,数据库内一个归档定时任务异常导致数据库出现GC Buffer的热块争用，数据库产生大量死锁。,运检中心从操作系统层清除定时任务进程，系统恢复正常。,加强监视和应急处置。,,,4.33333333436167,260.0000000617,,IMS监控,有,,,,无,有,有,无,有,6月,19,8,,,,,,,,,,,,,,,
12,396,,,,2016-06-19 15:45:00,,2016-06-19 21:00:00,英大证券,协同办公,二级部署,信息系统运行异常,系统部分功能非计划不可用,6月19日15:45-21:00，国网信通调度监控发现国网英大证券协同办公系统监控状态异常。期间，协同办公系统健康运行时长指标及在线用户数指标中断，URL探测正常。,主机,设备日常损坏,原因不详细,"经查，故障原因为IMS接口服务部署在10.1.70.72服务器上，各单位通过自己单独部署的IMS接口服务从本地协同办公系统提取数据,72服务器因硬件故障，宕机导致IMS服务停止，从而导致协同办公系统IMS指标监控异常。故障期间，流程引擎和统一用户服务异常，其他服务正常，系统未停运。故障发生在周末休息期间，未影响业务的正常使用。",,,,,5.25,315.0,,IMS监控,无,,,,无,有,有,有,无,6月,19,15,,,,,,,,,,,,,,,
13,397,,,,2016-06-22 00:05:00,,2016-06-22 01:05:00,甘肃,外网网站,二级部署,信息系统监控接口异常,不影响用户使用但系统有告警,6月22日0:05-1:05，2:55-3:35，国网信通调度监控发现国网甘肃公司外网网站监控异常。期间，系统健康运行时长指标中断，URL探测正常,网络,软件设计缺陷原因,网络bug,期间，系统健康运行时长中断，URL探测正常。经查，故障原因为外网网站IMS接口服务器在信息广域网AS号迁移改造检修期间，受网络波动的影响，造成了外网网站系统健康运行时长中断。,,,,,1.00000000081491,60.0000000488944,,IMS监控,无,,,,无,有,有,有,无,6月,22,0,,,,,,,,,,,,,,,
14,398,,,,2016-06-22 12:55:00,,2016-06-22 13:55:00,国网信通,软视频,,信息系统运行异常,系统部分功能非计划不可用,6月22日12:55，国网信通调度接到技术中心申告，用户登录国网公司软视频系统建立软视频会议后，参会单位无法正常进入会议。13:40，运检中心完成故障节点重启，13:55，经技术中心验证，系统恢复正常。,网络,运行维护不当,原因不清,无报告,,,,,1.00000000081491,60.0000000488944,,无告警,有,,,,无,有,有,无,有,6月,22,12,,,,,,,,,,,,,,,
15,399,,,,2016-06-22 19:40:00,,2016-06-22 22:00:00,河南,计量资产,二级部署,信息系统运行异常,不影响用户使用但系统有告警,6月22日19:40-22:00，国网信通调度监控发现国网河南公司MDS系统监控异常。期间，系统健康运行时长指标异常，20:40，在线用户数指标开始中断，URL探测正常。,数据库软件,软件设计缺陷原因,数据库bug,期间，系统健康运行时长异常，20:40系统在线用户数及健康运行时长指标中断。经查，故障原因为Oracle数据库Bug4518443引起非集群Oralce监听异常导致外围系统或客户端无法连接，但数据库自身正常运行。异常的双监听造成IMS应用接口服务连接数据库失败，从而导致指标数据中断，重新启动数据库监听程序后，指标恢复正常。,,,,,2.33333333517658,140.000000110595,,IMS监控,无,,,,无,有,有,有,无,6月,22,19,,,,,,,,,,,,,,,
16,400,,,,2016-06-22 13:35:00,,2016-06-22 15:45:00,蒙东,海量平台,二级部署,信息系统运行异常,系统部分功能非计划不可用,6月22日13:35-15:45，国网蒙东电力海量数据平台监控状态异常。期间，系统健康运行时长指标异常，在线用户数指标及URL探测正常。,数据库软件,操作不当等问题,检修操作不当,期间，系统健康运行时长指标异常，在线人数指标及URL探测正常。经查，故障原因为海量平台进行过应用系统弱口令整改，但数据库表（person）群集用户SYSTEM_WEB未做同步修改，操作系统重启后，内存数据重新加载，IMS接口应用群集配置用户（SYSTEM_WEB）口令与数据库连接用户（SYSTEM_WEB）口令不匹配， 登录失败，导致调用群集接口失败。,,,,,2.16666666726815,130.000000036089,,IMS监控,无,,,,无,有,有,有,无,6月,22,13,,,,,,,,,,,,,,,
17,401,,,,2016-06-23 13:25:00,,2016-06-23 14:05:00,北京,营销应用,二级部署,信息系统监控接口异常,系统部分功能非计划不可用,6月23日13:25-14:05，国网信通调度监控发现国网北京电力营销应用系统指标监控状态异常。期间，健康运行时长指标及在线用户数指标缺失，URL探测正常。,主机,运行维护不当,原因不详细,经查，故障原因为由于营销I6000接口程序所在的双节点服务器其中一个服务器节点假死，该服务器部署的I6000接口程序无法正常工作，但是服务器和端口均处于连通状态，导致i6000继续读取该服务器的接口程序，没有切换到另一个正常节点服务器，引起指标中断。,,,,,0.666666667093523,40.0000000256114,,IMS监控,无,,,,无,有,有,有,无,6月,23,13,,,,,,,,,,,,,,,
18,402,,,,2016-06-24 22:15:00,,2016-06-24 23:40:00,北京,通信管理,二级部署,信息系统监控接口异常,不影响用户使用但系统有告警,6月24日22:15-23:40，国网北京电力TMS系统监控状态异常。期间，系统健康运行时长及在线人数指标缺失，URL探测正常。,数据库软件,运行维护不当,数据库表空间满,经查，故障原因为TMS系统IMS接口服务程序日志记录等级设置过高（DEBUG模式），导致日志文件过大，写入等待时间较长，导致IMS接口取数响应缓慢，调整设置并重启接口服务后，监控指标恢复正常。,,,,,1.41666666726815,85.0000000360887,,IMS监控,无,,有,,无,有,有,有,无,6月,24,22,,,,,,,,,,,,,,,
19,403,,,,2016-06-27 05:40:00,,2016-06-27 08:35:00,西北,财务管控,二级部署,信息系统运行异常,不影响用户使用但系统有告警,6月27日5:40，国网西北分部财务管控系统指标监控状态异常。期间，系统健康运行时长指标及在线用户数指标缺失，URL探测正常。,操作系统和集群,运行维护不当,原因不详细,经查，故障原因为财务管控系统集中平台配置错误，导致集群未能切换故障节点，IMS指标数据取数失败。重启故障节点后，指标恢复正常。,,,,,2.91666666709352,175.000000025611,,IMS监控,无,,有,,无,有,有,有,无,6月,27,5,,,,,,,,,,,,,,,
20,404,,,,2016-06-29 14:40:00,,2016-06-29 15:35:00,国网信通,集中ERP,,信息系统监控接口异常,不影响用户使用但系统有告警,6月29日14:40，国网信通调度监控发现集中部署ERP的IMS健康运行时长及在线用户数指标缺失，系统URL探测指标正常。15:35，经运检中心调整ERP系统IMS接口配置后，监控指标恢复正常,应用软件,操作不当等问题,检修操作不当,因配合西藏、青海、冀北、天津四家单位的ERP集中部署系统上线工作，对通讯账号的角色权限进行了调整，导致IMS指标无法正常采集。,经运检中心调整ERP系统IMS接口通讯账号权限后，监控指标恢复正常。,对更新角色权限类操作加强事前测试，充分论证风险点，制定应急措施，回退方案等。,,,0.91666666790843,55.0000000745058,,IMS监控,无,,,,无,有,有,无,有,6月,29,14,,,,,,,,,,,,,,,
21,405,,,,2016-06-30 07:05:00,,2016-06-30 07:45:00,国网信通,电子商务,,信息系统运行异常,系统部分功能非计划不可用,6月30日07:05，国网信通调度监控发现电子商务平台数据库监控报错，使用测试账号登录系统时发现无法正常登录。7:45，经运检中心清理归档日志后，系统登录恢复正常,数据库软件,运行维护不当,归档空间满,数据库归档空间不足，造成redo日志无法写入，数据库无法进行大日志文件写入操作，测试帐号登陆时需要申请数据库连接、写入登录记录等大量数据库操作，因此部分时段测试帐号无法登录。新网管系统对于ASM磁盘组使用率的告警级别设置低，故未报警。,清理数据库归档空间后，数据库恢复，测试帐号可以登录。,配置定时清理任务，组织综合网管研发厂商对新网管ASM磁盘组告警级别进行整改。,,,0.666666667268146,40.0000000360887,,IMS监控,无,,,,无,有,有,无,有,6月,30,7,,,,,,,,,,,,,,,
22,406,,,,2016-06-30 08:45:00,,2016-06-30 09:05:00,国网信通,安监管理,,信息系统运行异常,系统部分功能非计划不可用,6月30日8:45，国网信通调度收到安监一体化项目组申告安全隐患管理模块功能异常，经验证，部分节点存在异常（系统首页可正常访问）。9:05，通过负载均衡设备将异常节点剔除后，系统恢复正常。,数据库软件,软件设计缺陷原因,SQL语句不合理,经查，故障原因为故障节点JVM内存配置不足且SQL执行效率过低，导致在业务高峰期数据库负载过高，查询结果缓慢，进而导致安全隐患管理模块无法正常使用。目前已将服务节点进行内存扩容，并计划后续通过检修优化SQL语句解决上述问题。,,,,,0.333333333546761,20.0000000128057,,IMS监控,有,,,,无,有,有,有,有,6月,30,8,,,,,,,,,,,,,,,
23,407,,,,2016-06-30 19:00:00,,2016-06-30 19:45:00,河南,计量资产,二级部署,信息系统监控接口异常,不影响用户使用但系统有告警,6月30日19:00-19:45，国网河南电力MDS系统监控状态异常(上报紧急抢修)期间，系统URL探测异常，在线用户数及健康运行时长正常,网络,操作不当等问题,检修操作不当,经查，由于IMS系统中将MDS系统探测地址错误配置为生产调度平台地址，在6月30日进行生产调度平台补丁升级，在系统重启后发现MDS系统监控异常，在对MDS系统探测地址进行更改后，系统监控恢复正常。,,,,,0.75,45.0,,IMS监控,无,,,,有,有,有,有,无,6月,30,19,,,,,,,,,,,,,,,
24,408,,,,2016-07-02 17:55:00,,2016-07-02 18:15:00,西藏,I6000,二级部署,信息系统运行异常,系统部分功能非计划不可用,7月2日17:55-18:15，国网信通调度监控发现国网西藏电力所有系统监控状态异常。期间，所有系统健康运行时长指标及在线用户数指标中断，URL探测异常。,主机,操作不当等问题,检修操作不当,期间，所有系统URL探测异常，健康运行时长指标及在线用户数指标异常。经查，故障原因为，新到运维人员在开展应急指挥系统检修过程中（[西藏-本部]20160702-M001），协助应急指挥系统将测试系统切换正式系统。运维人员对配置应急指挥webservice的取数文件误操作，后台取数服务更新，导致其他前置服务自动停掉，从而引起前台展示报红。,,,,,0.333333333546761,20.0000000128057,,IMS监控,无,,,,无,有,有,有,无,7月,02,17,,,,,,,,,,,,,,,
25,409,,,,2016-07-03 00:25:00,,2016-07-03 03:20:00,龙江,生产管理2.0,二级部署,信息系统监控接口异常,不影响用户使用但系统有告警,7月3日00:25-03:20，国网信通调度监控发现I6000国网龙江电力PMS2.0系统监控状态异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常。,数据库软件,运行维护不当,数据库表空间满,"经查，由于I6000主页探测配置为PMS2.0进行迁移前的老地址,老地址已经作为测试环境使用，测试环境由于数据库表空间不足，导致测试环境宕机无法访问，引起I6000探测指标出现异常。",,,,,2.91666666709352,175.000000025611,,IMS监控,无,,,,无,有,有,有,无,7月,03,0,,,,,,,,,,,,,,,
26,410,,,,2016-07-04 15:35:00,,2016-07-04 16:45:00,辽宁,内网移动,二级部署,信息系统运行异常,不影响用户使用但系统有告警, 7月4日15:35-16:45，国网信通调度监控发现国网辽宁电力内网移动应用支撑系统异常。期间，系统URL探测异常，健康运行时长指标及在线用户数指标缺失。,数据库软件,运行维护不当,license过期,经查，故障原因为数据库oracle 11g用户密码超期失效导致应用无法连接到数据库。数据库部署时，用户密码默认时限为180天，超出时限。由于数据库用户密码失效，数据库用户不能正常登陆读取数据，造成URL探测中断。,,,,,1.16666666645324,69.9999999871943,,IMS监控,无,,,,有,有,有,有,无,7月,04,15,,,,,,,,,,,,,,,
27,411,,,,2016-07-05 11:30:00,,2016-07-05 12:10:00,国网信通,财务决策,二级部署,信息系统运行异常,不影响用户使用但系统有告警,7月5日11:30，国网信通调度监控发现财务辅助决策系统IMS健康运行时长及在线用户数指标中断，URL探测异常。12:10，经调控中心重启所有应用节点后，系统恢复正常。,主机,运行维护不当,内存溢出,操作系统版本与JDK版本不一致，应用节点可分配内存不足导致内存溢出。,调控中心重启所有应用节点后，系统恢复正常。,将应用程序迁移至64位JDK环境中并增大内存，已完成程序代码优化及部署。,,,0.666666664823424,39.9999998894054,,IMS监控,无,,,,无,有,有,无,有,7月,05,11,,,,,,,,,,,,,,,
28,412,,,,2016-07-06 00:45:00,,2016-07-06 05:00:00,国网信通,数字档案,,信息系统运行异常,不影响用户使用但系统有告警,7月6日00:45，国网信通调度监控发现数字档案馆系统IMS健康运行时长及在线用户数指标中断，URL探测正常。05:00，经运检中心应急处置后，监控指标恢复正常,数据库软件,运行维护不当,license过期,数据库用户密码过期，导致应用无法连接数据库，导致IMS从数据库中取数失败，引起IMS指标中断。,重置密码解锁数据库用户状态后，IMS指标恢复正常。,已将数据库用户密码策略修改为无限制，再次对所有数据库用户密码策略进行排查，确保系统数据库用户口令均无时间限制。,,,4.24999999918509,254.999999951106,,IMS监控,无,,,,无,有,有,无,无,7月,06,0,,,,,,,,,,,,,,,
29,413,,,,2016-07-06 05:05:00,,2016-07-06 05:30:00,国网信通,数据交换,,信息系统运行异常,不影响用户使用但系统有告警,7月6日05:05，国网信通调度监控发现数据交换系统IMS监控URL探测异常，健康运行时长及在线用户数探测正常。05:30，经调控中心重启所有应用节点后，系统恢复正常。,数据库软件,软件设计缺陷原因,SQL语句不合理,运监系统其中一张表及索引过大，导致SQL语句执行时间超长，造成请求weblogic反应时间超出默认值，从而引起资源排队请求的问题，导致业务调用缓慢，进而导致F5地址访问异常。,逐个重启应用节点后，告警恢复，系统恢复正常。,对表进行整改，重新构建了新表，表由250G调整到1.5G。索引由450G调整到2G左右。,,,0.416666666453239,24.9999999871943,,IMS监控,无,,,,无,有,有,无,有,7月,06,5,,,,,,,,,,,,,,,
30,414,,,,2016-07-06 07:50:00,,2016-07-06 08:40:00,陕西,I6000,二级部署,信息系统运行异常,不影响用户使用但系统有告警,7月6日07:50-08:40，国网陕西电力所有系统监控异常。期间，所有系统URL探测异常，健康运行时长指标及在线用户数指标异常。,主机,运行维护不当,cpu负载高,经查，近期因I6000系统建设和实用化需要，各单位对设备台帐进行集中维护，台账导入导出操作频繁，导致10.208.103.102服务器的内存和CPU负载过高，I6000系统向IMS总线转发数据的程序接口PASSendServer程序响应缓慢，进而导致IMS系统未能及时接收到I6000的数据，指标数据出现短暂中断。,,,,,0.833333332906477,49.9999999743886,,IMS监控,无,,,,无,有,有,有,无,7月,06,7,,,,,,,,,,,,,,,
31,415,,,,2016-07-07 02:20:00,,2016-07-07 04:40:00,山东,外网网站,二级部署,信息系统运行异常,不影响用户使用但系统有告警,7月7日02:20-04:40，国网山东电力外网网站监控异常。期间，URL探测中断，健康运行时长指标正常，网站可访问。,网络,设备日常损坏,交换机,期间，URL探测中断，健康运行时长正常，网站可访问。经查，故障原因为有两个：一是I6000双机数据库一个节点发生故障；二是隔离装置存在功能性缺陷。对于数据库节点宕机，进行了日志收集分析。收集日志并发回原厂分析后发现，服务器CPU在服务器重启前出现一次CPU报错，与分析日志发现的结论基本相同。所以，判定此次故障由华为服务器硬件故障导致。经确认，隔离装置功能上无法进行数据库故障判断（只能判断系统运行的主机是否存在故障），因此在数据库存在问题的时候，无法漂移。,,,,,2.33333333290648,139.999999974389,,IMS监控,无,,,,无,有,有,有,无,7月,07,2,,,,,,,,,,,,,,,
32,417,,,,2016-07-08 21:30:00,,2016-07-08 22:25:00,国网新源,内网门户,二级部署,信息系统监控接口异常,不影响用户使用但系统有告警,7月8日21:30-22:25，国网信通调度监控发现国网新源公司企业门户系统监控状态异常。期间，系统健康运行时长及在线用户数指标异常，URL探测正常。,主机,操作不当等问题,检修操作不当,期间，健康运行时长及在线用户数指标异常。经查，故障原因为值班人员将IMS系统主服务器系统时间与国网时间源服务器同步对时后，企业门户、ERP系统接口程序出现异常，导致指标中断，重启IMS接口后指标恢复正常。（合并处理）,,,,,0.916666668083053,55.0000000849832,,IMS监控,无,,,,无,有,有,有,无,7月,08,21,,,,,,,,,,,,,,,
33,418,,,,2016-07-08 21:30:00,,2016-07-08 22:30:00,国网新源,ERP,二级部署,信息系统运行异常,不影响用户使用但系统有告警,7月8日21:30-22:30，国网信通调度监控发现国网新源公司ERP系统监控状态异常。期间，系统健康运行时长及在线用户数指标异常，URL探测正常。,主机,操作不当等问题,检修操作不当,期间，健康运行时长及在线用户数指标异常。经查，故障原因为值班人员将IMS系统主服务器系统时间与国网时间源服务器同步对时后，企业门户、ERP系统接口程序出现异常，导致指标中断，重启IMS接口后指标恢复正常。（合并处理）,,,,,1.00000000081491,60.0000000488944,,IMS监控,无,,有,,无,有,有,有,无,7月,08,21,,,,,,,,,,,,,,,
34,419,,,,2016-07-08 22:00:00,,2016-07-09 01:15:00,江西,外网网站,二级部署,信息系统运行异常,网络非计划停运,7月8日22:00，国网信通调度监控发现国网江西公司外网网站系统健康运行时长指标中断，URL探测异常。,网络,软件设计缺陷原因,网络bug,期间。系统健康运行时长指标中断，URL探测异常。经查，故障原因为负责外网网站指标从外网传到内网的二代隔离装置存在缺陷，出现无法连接数据库的现象，于是外网网站不断连接导致连接数异常，二代隔离装置负载过大，导致运行缓慢，从而影响了外网网站指标监控。重启隔离装置后，系统指标恢复正常。,,,,,3.24999999837019,194.999999902211,,IMS监控,无,,有,,无,有,有,有,无,7月,08,22,,,,,,,,,,,,,,,
35,420,,,,2016-07-08 14:55:00,,2016-07-08 18:40:00,中电装,协同办公,二级部署,信息系统运行异常,系统部分功能非计划不可用,7月8日14:55-18:40，国网信通调度监控发现国网中电装备协同办公系统监控状态异常。期间，系统健康运行时长及在线人数指标异常，URL探测正常。,基础环境,设备日常损坏,原因不详细,经查原因为由于机房空间条件限制，仅安装了单机空调，出现故障，导致机房温度升高，服务器自动关机，使IMS系统监控到协同办公系统在线用户数与运行健康时长的缺失。,,,,,3.75,225.0,,IMS监控,无,,有,,无,有,有,有,无,7月,08,14,,,,,,,,,,,,,,,
36,421,,,,2016-07-08 15:45:00,,2016-07-08 16:05:00,四川,多套系统,二级部署,信息系统运行异常,系统部分功能非计划不可用,7月8日15:45-16:05，国网信通调度监控发现国网四川电力多套系统监控状态异常，I6000监控状态正常。期间，营销应用、企业门户、财务管控等系统URL探测异常。统一权限、统一平台、营销基础等系统健康运行时长、在线人数指标及URL探测异常。,数据库软件,运行维护不当,cpu负载高,经查，故障原因为部分地市设备完毕并纳入I6000监控，将新增地市设备监控指标数据发送至I6000侧总线，由于 I6000侧JmsTranfer程序转发至IMS的指标包括业务数据与网管数据，导致I6000转发程序向IMS侧转发数据量激增，转发程序未及时处理，造成业务系统监控指标异常。,,,,,0.333333333546761,20.0000000128057,,,无,,,,无,,有,有,无,7月,08,15,,,,,,,,,,,,,,,
37,422,,,,2016-07-09 21:00:00,,2016-07-09 22:20:00,中电装,协同办公,二级部署,信息系统运行异常,系统部分功能非计划不可用,7月9日21:00-22:20，国网中电装备协同办公系统监控状态异常。期间，系统健康运行时长及在线人数指标异常，URL探测正常。,基础环境,操作不当等问题,检修操作不当,经查，由于自建机房的空调维修人员误操作导致部署统一用户服务和IMS报送服务的服务器关机，影响了系统指标，启动服务器及相关服务后，指标恢复。,,,,,1.33333333436167,80.0000000617001,,IMS监控,无,,有,,无,有,有,有,,7月,09,21,,,,,,,,,,,,,,,
