,异常类型,异常类型细项,问题现象,故障组件,形成原因,形成原因细类,原因分析,故障处理过程
33,信息系统运行异常,网络非计划停运,3月20日15:55-16:20，3月21日07:05-07:45，国网西藏电力TMS系统监控状态异常。期间，系统在线用户数指标中断，健康运行时长指标及URL探测状态正常,网络,设备日常损坏,通信板卡,"期间，系统健康运行时长及在线用户数指标中断，URL探测异常。经查，计量资产系统网络交换机光模块出现故障网络不通，导致指标异常，更换光模块后，系统恢复正常运行，故障排除。
",更换光模块
34,信息系统运行异常,不影响用户使用但系统有告警,5月5日16:45，总部营销业务管控平台系统IMS健康运行时长及在线用户数指标缺失，URL探测正常。17:05，监控指标自动恢复正常,数据库软件,运行维护不当,内存配置不合理,业务管控平台数据库服务器节点2（10.4.32.18）和节点3（10.4.32.24）主机的HugePage内存块分配错误，导致数据库实例的SGA分配不足，以致于数据库实例非正常down掉。,0
35,信息系统运行异常,不影响用户使用但系统有告警,9月9日10:25，国网信通调度监控发现总部一体化规划设计平台健康运行时长和在线用户数指标缺失，URL探测指标异常。10:50，经运检中心重启应用节点后，系统指标恢复正常。,操作系统和集群,运行维护不当,应用节点配置不合理,进一步排查，规划设计的2个应用节点的access.log日志，发现存在大量用户通过单节点访问系统的情况（未通过F5地址访问）。这样缺少了负载均衡设备负载分发，进一步增加了节点压力,
36,信息系统运行异常,不影响用户使用但系统有告警,3月1日12:50，总部农电管理系统健康运行时长及在线用户数指标缺失，URL探测正常。14:25，系统监控指标自动恢复正常,应用软件,运行维护不当,线程满,运检部要求相关单位于3月1日上报2月份2015年新增中央预算内农村电网改造升级工程、2015年第一批专项建设基金农村电网改造升级工程、2015年第二批专项基金城镇配电网工程的月报和本周周报，用户集中操作导致线程阻塞、系统响应缓慢。,系统自动恢复正常。
37,信息系统运行异常,系统部分功能非计划不可用,7月2日17:55-18:15，国网信通调度监控发现国网西藏电力所有系统监控状态异常。期间，所有系统健康运行时长指标及在线用户数指标中断，URL探测异常。,主机,运行维护不当,检修操作不当,期间，所有系统URL探测异常，健康运行时长指标及在线用户数指标异常。经查，故障原因为，新到运维人员在开展应急指挥系统检修过程中（[西藏-本部]20160702-M001），协助应急指挥系统将测试系统切换正式系统。运维人员对配置应急指挥webservice的取数文件误操作，后台取数服务更新，导致其他前置服务自动停掉，从而引起前台展示报红。,0
38,信息系统运行异常,系统非计划停运,3月14日16:15-17:40，国网信通调度监控发现国网北京电力营销基础数据平台系统监控异常。期间，系统在线用户数与健康运行时长指标中断，URL探测指标正常。已组织北京公司进行应急处置,网络,设备日常损坏,通信板卡,经查，数据库服务器与存储间光纤链路异常引起服务器自动重启，重启时IMS系统无法从基础数据平台获取数据库平均响应时长，导致其他指标也无法正常发送至IMS系统，故出现系统健康运行时长中断现象。重启节点后监控指标恢复正常。,重启节点
39,信息系统运行异常,系统部分功能非计划不可用,2月22日10:23，国网信通调度接网大运管中心申告，“部分用户从网大首页跳转至专业学院时报502错误”，12:45，运检中心完成故障节点重启，经与网大运管中心验证系统恢复正常。,应用软件,软件设计缺陷,代码逻辑缺陷,网大后台程序生成网络大学系统首页和学员个人中心的静态页面时，由于静态页面文件未加锁，其他线程会将先前生成的共享静态页面文件误删除，造成白屏或Nginx报错。同时在用户访问页面失败时，未进行异常处理，直接将白屏页面反馈给用户。,在网络大学首页的静态页面中将专业学院的原动态页面访问地址替换为静态访问地址，并设置该文件权限，禁止程序自动更新替换该页面。
40,信息系统运行异常,网络非计划停运,7月8日22:00，国网信通调度监控发现国网江西公司外网网站系统健康运行时长指标中断，URL探测异常。,网络,软件设计缺陷,网络bug,期间。系统健康运行时长指标中断，URL探测异常。经查，故障原因为负责外网网站指标从外网传到内网的二代隔离装置存在缺陷，出现无法连接数据库的现象，于是外网网站不断连接导致连接数异常，二代隔离装置负载过大，导致运行缓慢，从而影响了外网网站指标监控。重启隔离装置后，系统指标恢复正常。,0
41,信息系统运行异常,不影响用户使用但系统有告警,"8月5日00:40，国网信通调度接7186申告，部分用户使用外网电子商务平台的供应商审核模块时显示异常，但不影响整体评标进程。
",网络,运行维护不当,网络配置不合理,F5配置缓存机制，RAM缓存中对用户访问模块页面记录错误，导致用户访问该模块时显示异常。,强制清除F5中缓存，页面访问恢复正常。
42,信息系统监控接口异常,IMS系统数据接口非计划中断,3月11日02:05起，国网天津公司所有系统探测中断，在线用户数，健康运行时长异常。04:10，监控指标陆续恢复正常，6:00，所有系统监控指标已全部恢复正常,应用软件,软件设计缺陷,代码逻辑缺陷,I6000用于接收数据的category每响应一次均创建一个新的线程，线程释放机制发生异常，经过一段时间后，系统运行线程数超出内核参数设定的最大值，操作系统不能创建线程，导致SSH链接出现问题，所有对外服务都进入不可用状态，I6000服务无法正常运行。,重新启动I6000相应程序，系统指标恢复正常。
43,信息系统运行异常,不影响用户使用但系统有告警,"5月18日23:20，国网信通调度监控发现总部云终端系统IMS健康运行时长及在线用户数指标缺失。
",应用软件,运行维护不当,内存溢出,10.1.161.7应用服务器中IMS接口软件为Tomcat，长期运行后内存占用增高，导致Tomcat软件数据格式转换异常，不能获取云终端系统的在线数。因10.1.161.7应用服务器端口正常，根据负载均衡机制IMS未及时切换至10.1.161.8，无法及时反馈IMS指标数据，进而导致IMS指标中断。,重启云终端系统服务器和IMS服务后，系统恢复正常。
44,信息系统运行异常,信息系统侧IMS接口非计划不可用,2月23日21:05-21:35，国网河南电力干部管理系统指标状态异常。期间，系统健康运行时长及在线用户数中断，URL探测正常。,数据库软件,运行维护不当,线程满,故障原因为近期大批量的信息处理造成系统响应缓慢，导致IMS接口程序取数异常,清理缓存数据，并重启IMS接口程序，系统指标恢复正常。
45,信息系统运行异常,网络非计划停运,2月3日18:40-22:05，国网信通调度监控发现国网天津公司外网网站系统监控异常。期间系统健康运行时长指标缺失，URL探测指标缺失,网络,设备日常损坏,交换机,外网采集服务器单机部署，期间采集服务器上联交换机光模块故障，导致IMS系统无法采集外网网站监控数据,更换光模块，重启采集服务
46,信息系统监控接口异常,业务应用级联贯通不可用,1月8日07:15-8:35，国网东北分部财务管控系统监控状态异常。期间，健康运行时长及在线用户数指标中断，URL探测正常，系统未停运。,主机,运行维护不当,内存配置不合理,查故障原因为接口服务采用单机部署，JAVA虚拟机缓存空间不足，导致IMS接口程序新建连接时无法获取内存资源而挂起，造成财务管控监控指标中断，通过重启接口服务器,通过重启接口服务器
47,信息系统运行异常,不影响用户使用但系统有告警,2月27日19:25，国网信通调度监控发现总部数据交换系统IMS健康运行时长及在线用户数指标正常，URL探测异常。19:50，经重启应用节点，指标恢复正常,应用软件,运行维护不当,未反馈故障报告,部分应用节点运行异常。,经重启应用节点，指标恢复正常。
48,信息系统运行异常,网络非计划停运,"9月11日01:30-02:15，03:10-04:05, 国网信通调度监控发现国网江西公司所有系统健康运行时长及在线用户数指标中断，URL探测异常。经验证被监控系统可以正常访问。",网络,运行维护不当,检修操作不当,经查，故障原因为9月9日开展省网数据通信网区域融合、CE设备下沉检修后，未重启核心交换机更新路由表策略，导致路由转发异常，出现上述监控指标异常。,0
49,信息系统运行异常,不影响用户使用但系统有告警,8月11日10:15，国网信通调度监控发现工会班组系统IMS健康运行时长及在线用户数指标中断，URL探测正常。10:45，经调度重启故障节点后，系统监控指标恢复正常。,数据库软件,软件设计缺陷,SQL语句不合理,SQL语句执行时间过长，系统数据库连接池被占满，导致IMS取数服务异常和一个应用节点异常；同时，由于F5节点探测为TCP端口方式，未探测出节点异常，IMS指标请求仍被分发至异常节点，导致IMS无法获取指标数据。,经调度重启故障节点后，系统监控指标恢复正常。
50,信息系统运行异常,系统非计划停运, 2月28日2:00-2:30，国网信通调度监控发现国网英大证券ERP系统IMS健康运行时长和在线用户数指标缺失。,主机,运行维护不当,检修操作不当,检修计划中遗漏,检修计划中遗漏
51,信息系统运行异常,系统部分功能非计划不可用,3月25日16:10-16:45，国网信通调度监控发现国网四川电力PMS2.0系统监控异常。期间，系统健康运行时长和在线用户数指标中断，URL探测正常。,主机,运行维护不当,内存溢出,经查，四川PMS2.0系统的配网管控、调度任务对外接口部署在同一个服务器上，并通过调度任务对外接口向I6000系统发送相关监测数据。2016年3月25日PMS2.0配网运维管控模块中，公变监测分析指标无数据（如图1），需要使用配网运维管控计算模块重新计算公变监测分析指标，因为配网运维管控计算模块计算时，会将2700万左右表箱数据量、一亿左右用电采集系统的电流、电压、功率监测数据加载到服务器内存中（如图2），导致服务器消耗大量内存（计算一次所需内存大概31个G左右，部署的服务器内存为32个G）（如图3）。由于调度任务对外接口服务的内存获取方式为区域自增长，在配网管控计算模块占用大量内存、且有大量外部业务系统调用调度任务对外接口时，该接口服务无法获取内存，并造成该接口内存溢出，在PMS2.0系统中生成的指标无法正常推送到I6000系统，引起I6000系统中健康运行时长中断。清理内存，重启任务接口后恢复正常。,清理内存，重启任务接口后恢复正常。
52,信息系统运行异常,系统非计划停运,8月6日19:15，国网信通调度监控发现国网东北分部电力交易系统IMS监控状态异常。期间，系统健康运行时长及在线用户数指标异常，URL探测正常。,基础环境,运行维护不当,机房停电,经查，故障原因为8月5日22时20分，因东北分部办公楼一路供电线路C向接地故障，为确保调度安全生产用电，因电力市场交易系统已申请下线，故对该系统服务器及存储设备采取关停操作。,0
53,信息系统监控接口异常,IMS系统数据接口非计划中断,1月7日16:35-17:00，国网总部干部管理系统监控状态异常。期间，健康运行时长及在线用户数指标中断，URL探测正常，系统未停运。,中间件,运行维护不当,中间件数据库连接数满,故障原因为WebLogic连接池满，资源没有释放，导致IMS接口无法建立数据库连接，系统指标出现异常,通过重新启动WebLogic服务，增加WebLogic连接数限制，并清理WebLogic缓存后，系统指标恢复正常。
54,信息系统运行异常,不影响用户使用但系统有告警,12月20日13:55，国网信通调度监控发现直属单位所有系统健康运行时长及在线用户数指标中断，URL探测异常，系统可正常访问。15:30，经运检中心应急处置后，系统指标恢复正常。,操作系统和集群,运行维护不当,检修操作不当,经查，具体原因为20日为优化资源池资源配置，运检中心进行不停业务虚拟机迁移检修，检修过程中操作系统NTP服务异常，导致指标采集时间与实际时间不一致，指标数据与探测展现异常。,
55,信息系统运行异常,网络非计划停运,3月14日16:15-17:40，3月15日18:10-19:00、16日11:30-11:45，国网北京电力营销基础数据平台监控状态异常。,主机,运行维护不当,节点自动重启,经查，数据库服务器与存储间光纤链路异常引起服务器自动重启，重启时IMS系统无法从基础数据平台获取数据库平均响应时长，导致其他指标也无法正常发送至IMS系统，故出现系统健康运行时长中断现象。重启节点后监控指标恢复正常。,重启恢复
56,信息系统运行异常,系统非计划停运,1月19日01:10，国网技术学院财务管控系统停运。期间，健康运行时长及在线用户数指标中断，URL探测异常。,应用软件,运行维护不当,线程满,系统频繁调用财务管控接口导致系统超负荷运转，最终超出weblogic设置的最大内存值，由于内存不足导致节点自动退出,重启管控服务
57,信息系统运行异常,信息系统侧IMS接口非计划不可用,2月26日0:40，国网浙江电力外网网站监控状态异常。期间，外网网站URL探测指标中断，外网网站访问正常,主机,运行维护不当,内存溢出,I6000系统探测服务内存溢出,重启外网网站探测服务程序
58,信息系统运行异常,不影响用户使用但系统有告警,1月25日14:40，电能质量在线监测系统IMS健康运行时长及在线用户数指标缺失，系统URL探测指标正常。15:40，缺失指标自动恢复,应用软件,运行维护不当,检修操作不当,系统在22-24日检修升级后，未及时清理旧版本多余程序包，导致系统运行时特定条件下触发程序中多余的旧版本数据库连接jar包被加载，并与新版本weblogic中自带jar包产生冲突，导致数据源无法连接造成系统无法访问,自动恢复。
59,信息系统运行异常,不影响用户使用但系统有告警,"1、总部系统运行情况
10月24日13:25，国网信通调度监控发现督查工具分析平台系统IMS健康运行时长及在线用户数指标缺失，URL探测正常。15:30，启动数据库网关服务，并重启所有应用节点后，系统指标恢复正常
",网络,运行维护不当,网络配置不合理,督查分析工具系统数据库采用的是南瑞集成基于mysql开发的nbase数据库，本次故障的直接原因为10.4.45.211上nbase的网关服务（keepalived）进程停止，造成访问数据库地址（浮点IP）找不到。导致应用无法连接数据库，指标无法获取数据，进而影响了业务使用和IMS指标中断。,
60,信息系统运行异常,信息系统侧IMS接口非计划不可用,4月11日12:25-12:50，国网信通调度监控发现国网江西电力海量数据平台健康运行时长及在线用户数指标中断，URL探测指标正常。,主机,运行维护不当,存储空间满,经查，故障原因为新增业务需求要求补入相关档案数据，由于档案数据来源于多方业务系统，导致磁盘空间预估不足，数据持续接入造成磁盘空间占满，海量平台ims-kpi接口程序停止，导致IMS监测告警。,0
61,信息系统接口异常,系统告警但不影响用户使用,10月6日11:20，国网信通调度监控发现总部云终端系统IMS健康运行时长及在线用户数指标中断。11:55，经运检中心重启IMS接口服务后，系统监控指标恢复正常。,应用软件,运行维护不当,代码逻辑缺陷,总部云终端系统IMS接口所使用的会话机制调用过程中易阻塞程序，导致无法读取指标数据，进而导致IMS指标中断。,"重启总部云终端系统（10.1.161.7和10.1.161.8）上的IMS接口服务及Tomcat服务后，指标取数正常。
"
62,信息系统运行异常,信息系统侧IMS接口非计划不可用,6月15日21:10-23:30，国网浙江电力外网网站系统监控状态异常。期间，系统健康运行时长指标中断，URL探测正常,主机,运行维护不当,内存溢出,经查故障原因为IMS系统外网探测长期处于未维护状态，导致探测程序出现内存溢出，对数据转发的发生间歇性迟滞。从I6000系统日志及记录上可以观察到在出现IMS数据丢失期间，I6000数据收发机转发皆正常。,
